Coutry;City;Borough;Neighbourhood;Area;Population;Density
Malta;Valletta;Valletta;;0.8;6,444;8,055
Luxembourg;Luxembourg City;Beggen;;1.7091;3,746;2,192
Luxembourg;Luxembourg City;Belair;;1.718;11,494;6,690
Luxembourg;Luxembourg City;North Bonnevoie-Verlorenkost;;0.6776;4,296;6,340
Luxembourg;Luxembourg City;South Bonnevoie;;2.3921;12,734;5,323
Luxembourg;Luxembourg City;Cents;;1.731;6,316;3,649
Luxembourg;Luxembourg City;Cessange;;6.5783;4,479;681
Luxembourg;Luxembourg City;Clausen;;0.3606;963;2,671
Luxembourg;Luxembourg City;Dommeldange;;2.3556;2,587;1,098
Luxembourg;Luxembourg City;Eich;;0.6318;2,961;4,687
Luxembourg;Luxembourg City;Gare;;1.0526;10,741;10,204
Luxembourg;Luxembourg City;Gasperich;;4.4514;6,465;1,452
Luxembourg;Luxembourg City;Grund;;0.3003;931;3,100
Luxembourg;Luxembourg City;Hamm;;4.0762;1,495;367
Luxembourg;Luxembourg City;Hollerich;;1.6001;7,107;4,442
Luxembourg;Luxembourg City;Kirchberg;;3.3684;5,673;1,684
Luxembourg;Luxembourg City;Limpertsberg;;1.5707;10,435;6,644
Luxembourg;Luxembourg City;Merl;;2.4281;5,801;2,389
Luxembourg;Luxembourg City;Muhlenbach;;2.4281;1,966;810
Luxembourg;Luxembourg City;Neudorf-Weimershof;;2.4893;6,315;2,537
Luxembourg;Luxembourg City;Pfaffenthal;;0.3752;1,270;3,385
Luxembourg;Luxembourg City;Pulvermuhl;;0.2482;391;1,575
Luxembourg;Luxembourg City;Rollingergrund-North Belair;;6.3387;4,459;703
Luxembourg;Luxembourg City;Ville Haute;;1.059;3,460;3,267
Luxembourg;Luxembourg City;Weimerskirch;;1.1051;2,430;2,199
Cyprus;Nicosia;Ágios Dométios;Ágios Geórgios;3.29;9,267;2,817
Cyprus;Nicosia;Ágios Dométios;Ágios Pávlos;0.89;3,189;3,583
Cyprus;Nicosia;Aglantziá;Aglantziá;21.37;20,783;973
Cyprus;Nicosia;Engomi;Engomi;9.49;18,010;1,898
Cyprus;Nicosia;Géri;Géri;28.26;8,235;291
Cyprus;Nicosia;Lakatámeia;Agía Paraskeví;9.31;15,024;1,614
Cyprus;Nicosia;Lakatámeia;Ágios Mámas;0.45;986;2,191
Cyprus;Nicosia;Lakatámeia;Ágios Nikólaos;6.25;7,282;1,165
Cyprus;Nicosia;Lakatámeia;Archángelos - Anthoúpoli;11.43;15,053;1,317
Cyprus;Nicosia;Latsiá;Ágios Elefthérios;0.52;2,351;4,521
Cyprus;Nicosia;Latsiá;Ágios Geórgios;15.67;13,046;833
Cyprus;Nicosia;Latsiá;Archángelos Michaíl;0.36;1,377;3,825
Cyprus;Nicosia;Lefkosía;Ágioi Konstantínos kai Eléni;0.56;3,209;5,730
Cyprus;Nicosia;Lefkosía;Ágioi Omologitaí;1.87;10,528;5,630
Cyprus;Nicosia;Lefkosía;Ágios Andréas;1.67;5,767;3,453
Cyprus;Nicosia;Lefkosía;Ágios Antónios;1.01;5,801;5,744
Cyprus;Nicosia;Lefkosía;Ágios Ioánnis;0.12;221;1,842
Cyprus;Nicosia;Lefkosía;Ágios Kassianós;0.04;82;2,050
Cyprus;Nicosia;Lefkosía;Ágios Sávvas;0.07;581;8,300
Cyprus;Nicosia;Lefkosía;Aráp Achmét Pasiá;0.53;50;94
Cyprus;Nicosia;Lefkosía;Chrysaliniótissa;0.04;124;3,100
