Country,City,Subdivision
Austria,Vienna,Alsergrund
Austria,Vienna,Brigittenau
Austria,Vienna,Döbling
Austria,Vienna,Donaustadt
Austria,Vienna,Favoriten
Austria,Vienna,Floridsdorf
Austria,Vienna,Hernals
Austria,Vienna,Hietzing
Austria,Vienna,Innere Stadt
Austria,Vienna,Josefstadt
Austria,Vienna,Landstraße
Austria,Vienna,Leopoldstadt
Austria,Vienna,Liesing
Austria,Vienna,Margareten
Austria,Vienna,Mariahilf
Austria,Vienna,Meidling
Austria,Vienna,Neubau
Austria,Vienna,Ottakring
Austria,Vienna,Penzing
Austria,Vienna,Rudolfsheim-Fünfhaus
Austria,Vienna,Simmering
Austria,Vienna,Währing
Austria,Vienna,Wieden
Belgium,Brussels,Anderlecht
Belgium,Brussels,Auderghem
Belgium,Brussels,Berchem-Sainte-Agathe
Belgium,Brussels,Bruxelles-Ville
Belgium,Brussels,Etterbeek
Belgium,Brussels,Evere
Belgium,Brussels,Forest
Belgium,Brussels,Ganshoren
Belgium,Brussels,Ixelles
Belgium,Brussels,Jette
Belgium,Brussels,Koekelberg
Belgium,Brussels,Molenbeek-Saint-Jean
Belgium,Brussels,Saint-Gilles
Belgium,Brussels,Saint-Josse-ten-Noode
Belgium,Brussels,Schaerbeek
Belgium,Brussels,Uccle
Belgium,Brussels,Watermael-Boitsfort
Belgium,Brussels,Woluwe-Saint-Lambert
Belgium,Brussels,Woluwe-Saint-Pierre
Bulgaria,Sofia,Bankya
Bulgaria,Sofia,Ilinden
Bulgaria,Sofia,Iskar
Bulgaria,Sofia,Izgrev
Bulgaria,Sofia,Krasna polyana
Bulgaria,Sofia,Krasno selo
Bulgaria,Sofia,Kremikovtsi
Bulgaria,Sofia,Lozenets
Bulgaria,Sofia,Lyulin
Bulgaria,Sofia,Mladost
Bulgaria,Sofia,Nadezhda
Bulgaria,Sofia,Novi Iskar
Bulgaria,Sofia,Oborishte
Bulgaria,Sofia,Ovcha kupel
Bulgaria,Sofia,Pancharevo
Bulgaria,Sofia,Poduyane
Bulgaria,Sofia,Serdika
Bulgaria,Sofia,Slatina
Bulgaria,Sofia,Sredets
Bulgaria,Sofia,Studentski
Bulgaria,Sofia,Triaditsa
Bulgaria,Sofia,Vazrazhdane
Bulgaria,Sofia,Vitosha
Bulgaria,Sofia,Vrabnitsa
Croatia,Zagreb,Brezovica
Croatia,Zagreb,Črnomerec
Croatia,Zagreb,Donja Dubrava
Croatia,Zagreb,Donji Grad
Croatia,Zagreb,Gornja Dubrava
Croatia,Zagreb,Gornji Grad – Medveščak
Croatia,Zagreb,Maksimir
Croatia,Zagreb,Novi Zagreb – istok
Croatia,Zagreb,Novi Zagreb – zapad
Croatia,Zagreb,Peščenica – Žitnjak
Croatia,Zagreb,Podsljeme
Croatia,Zagreb,Podsused – Vrapče
Croatia,Zagreb,Sesvete
Croatia,Zagreb,Stenjevec
Croatia,Zagreb,Trešnjevka – jug
Croatia,Zagreb,Trešnjevka – sjever
Croatia,Zagreb,Trnje
Cyprus,Nicosia,Ágios Dométios
Cyprus,Nicosia,Aglantziá
Cyprus,Nicosia,Anthoupolis
Cyprus,Nicosia,Engomi
Cyprus,Nicosia,Géri
Cyprus,Nicosia,Lakatámeia
Cyprus,Nicosia,Latsiá
Cyprus,Nicosia,Lefkosía
Cyprus,Nicosia,Stróvolos
Czech Republic,Prague,Prague 1
Czech Republic,Prague,Prague 10
Czech Republic,Prague,Prague 11
Czech Republic,Prague,Prague 12
Czech Republic,Prague,Prague 13
Czech Republic,Prague,Prague 14
Czech Republic,Prague,Prague 15
Czech Republic,Prague,Prague 16
Czech Republic,Prague,Prague 17
Czech Republic,Prague,Prague 18
Czech Republic,Prague,Prague 19
Czech Republic,Prague,Prague 2
Czech Republic,Prague,Prague 20
Czech Republic,Prague,Prague 21
Czech Republic,Prague,Prague 22
Czech Republic,Prague,Prague 3
Czech Republic,Prague,Prague 4
Czech Republic,Prague,Prague 5
Czech Republic,Prague,Prague 6
Czech Republic,Prague,Prague 7
Czech Republic,Prague,Prague 8
Czech Republic,Prague,Prague 9
Denmark,Copenhagen,Amager East
Denmark,Copenhagen,Amager West
Denmark,Copenhagen,Bispebjerg
Denmark,Copenhagen,Brønshøj-Husum
Denmark,Copenhagen,Indre By
Denmark,Copenhagen,Nørrebro
Denmark,Copenhagen,Østerbro
Denmark,Copenhagen,Sydhavnen 
Denmark,Copenhagen,Valby
Denmark,Copenhagen,Vanløse
Denmark,Copenhagen,Vesterbro
Estonia,Tallinn,Haabersti
Estonia,Tallinn,Kesklinn
Estonia,Tallinn,Kristiine
Estonia,Tallinn,Lasnamäe
Estonia,Tallinn,Mustamäe
Estonia,Tallinn,Nõmme
Estonia,Tallinn,Pirita
Estonia,Tallinn,Põhja-Tallinn
Finland,Helsinki,Alppiharju
Finland,Helsinki,Haaga
Finland,Helsinki,Herttoniemi
Finland,Helsinki,Itä-Pakila
Finland,Helsinki,Jakomäki
Finland,Helsinki,Kaarela
Finland,Helsinki,Kallio
Finland,Helsinki,Kulosaari
Finland,Helsinki,Laajasalo
Finland,Helsinki,Länsi-Pakila
Finland,Helsinki,Latokartano
Finland,Helsinki,Lauttasaari
Finland,Helsinki,Malmi
Finland,Helsinki,Maunula
Finland,Helsinki,Mellunkylä
Finland,Helsinki,Munkkiniemi
Finland,Helsinki,Myllypuro
Finland,Helsinki,Östersundom
Finland,Helsinki,Oulunkylä
Finland,Helsinki,Pasila
Finland,Helsinki,Pitäjänmäki
Finland,Helsinki,Puistola
