Country,City,Subdivision,lat,lng
Austria,Vienna,Alsergrund,48.22507335,16.358397599045787
Austria,Vienna,Brigittenau,48.2438222,16.3781465486532
Austria,Vienna,Döbling,48.2612506,16.328471020385248
Austria,Vienna,Donaustadt,48.2143607,16.48607154089865
Austria,Vienna,Favoriten,48.1529937,16.382821836477117
Austria,Vienna,Floridsdorf,48.279815049999996,16.412134555336003
Austria,Vienna,Hernals,48.2354031,16.284214218639107
Austria,Vienna,Hietzing,48.17854095,16.25298581556564
Austria,Vienna,Innere Stadt,48.2090229,16.36985112569659
Austria,Vienna,Josefstadt,48.2108519,16.347359861911986
Austria,Vienna,Landstraße,48.193643550000004,16.39628639135705
Austria,Vienna,Leopoldstadt,48.2006384,16.42694811887545
Austria,Vienna,Liesing,48.141106050000005,16.29391187772128
Austria,Vienna,Margareten,48.18807345,16.35338607721009
Austria,Vienna,Mariahilf,48.1954752,16.347023425336456
Austria,Vienna,Meidling,48.1719649,16.32868740760034
Austria,Vienna,Neubau,48.20226365,16.349122890358913
Austria,Vienna,Ottakring,48.2149546,16.302153494876826
Austria,Vienna,Penzing,48.22566175,16.222790144845575
Austria,Vienna,Rudolfsheim-Fünfhaus,48.1954752,16.32630072151544
Austria,Vienna,Simmering,48.16310865,16.458008805109422
Austria,Vienna,Währing,48.234115,16.321605699999996
Austria,Vienna,Wieden,48.2083537,16.3725042
Belgium,Brussels,Anderlecht,50.8390983,4.3296526
Belgium,Brussels,Auderghem,50.8172355,4.4268982
Belgium,Brussels,Berchem-Sainte-Agathe,50.8649231,4.2946734
Belgium,Brussels,Bruxelles-Ville,50.853966,4.352657599542228
Belgium,Brussels,Etterbeek,50.8361447,4.3861737
Belgium,Brussels,Evere,50.8720096,4.4034182
Belgium,Brussels,Forest,50.811795,4.3181187
Belgium,Brussels,Ganshoren,50.8703273,4.307798
Belgium,Brussels,Ixelles,50.8331141,4.3668279
Belgium,Brussels,Jette,50.8759585,4.3245702
Belgium,Brussels,Koekelberg,50.8606042,4.3315503
Belgium,Brussels,Molenbeek-Saint-Jean,50.8545959,4.338636
Belgium,Brussels,Saint-Gilles,50.8267409,4.345668
Belgium,Brussels,Saint-Josse-ten-Noode,50.8508197,4.3691634
Belgium,Brussels,Schaerbeek,50.8676041,4.3737121
Belgium,Brussels,Uccle,50.8035441,4.3338445
Belgium,Brussels,Watermael-Boitsfort,50.7981063,4.4176441
Belgium,Brussels,Woluwe-Saint-Lambert,50.8430448,4.4256732
Belgium,Brussels,Woluwe-Saint-Pierre,50.8370253,4.4274636
Bulgaria,Sofia,Bankya,42.7101251,23.1464966
Bulgaria,Sofia,Ilinden,42.5805339,23.941429
